county_name,Total,Hispanic or Latino,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Foreign Born
"Glasscock County, Texas",1116,387,729,710,8,0,0,3,0,332
"Goliad County, Texas",7012,2288,4724,4246,235,18,24,0,16,264
"Gonzales County, Texas",19653,9897,9756,8159,1075,41,63,6,45,2318
"Gray County, Texas",21227,6347,14880,13025,835,141,127,0,37,2046
"Grayson County, Texas",135543,20868,114675,95211,7448,1876,1958,58,348,5174
"Gregg County, Texas",124239,24040,100199,68050,24974,424,1614,47,298,8335
"Grimes County, Texas",29268,7361,21907,16910,3824,85,102,8,84,1502
"Guadalupe County, Texas",172706,65233,107473,84063,11947,476,3066,353,774,7479
"Hale County, Texas",32522,19489,13033,10693,1381,99,149,30,69,3176
"Hall County, Texas",2825,950,1875,1589,190,7,9,0,3,308
"Hamilton County, Texas",8222,1045,7177,6805,32,37,36,2,17,370
"Hansford County, Texas",5285,2615,2670,2552,12,16,9,3,18,1083
"Hardeman County, Texas",3549,818,2731,2441,130,14,18,1,7,260
"Hardin County, Texas",56231,3417,52814,46934,3037,190,399,34,149,696
"Harris County, Texas",4731145,2034709,2696436,1309593,885517,8432,344762,3199,23262,795968
"Harrison County, Texas",68839,9839,59000,42039,13448,294,483,28,267,2727
"Hartley County, Texas",5382,1631,3751,3403,191,15,24,5,1,316
"Haskell County, Texas",5416,1377,4039,3628,181,28,22,5,24,431
"Hays County, Texas",241067,92871,148196,121568,9004,599,4822,144,1009,13975
"Hemphill County, Texas",3382,1137,2245,2090,4,18,10,0,4,666
"Henderson County, Texas",82150,11242,70908,61854,4705,414,510,31,211,3166
"Hidalgo County, Texas",870781,800001,70780,53338,3364,635,8604,78,1915,217233
"Hill County, Texas",35874,7884,27990,24123,2055,137,188,15,87,2129
"Hockley County, Texas",21537,10624,10913,9752,565,82,49,4,59,1881
"Hood County, Texas",61598,7958,53640,49815,495,340,468,53,180,905
"Hopkins County, Texas",36787,6484,30303,25976,2373,198,277,4,85,2078
"Houston County, Texas",22066,3071,18995,12957,5163,94,138,8,58,447
"Howard County, Texas",34860,16174,18686,15672,1520,211,386,12,68,3535
"Hudspeth County, Texas",3202,2036,1166,1094,6,6,10,0,7,1681
"Hunt County, Texas",99956,19673,80283,65598,7812,722,979,151,301,4468
"Hutchinson County, Texas",20617,4961,15656,13783,416,273,105,2,52,895
"Irion County, Texas",1513,349,1164,1112,6,9,0,1,1,72
"Jack County, Texas",8472,1521,6951,6358,294,35,41,5,9,461
"Jackson County, Texas",14988,4829,10159,8510,937,36,158,5,102,915
"Jasper County, Texas",32980,2198,30782,23795,5572,127,114,16,72,695
"Jeff Davis County, Texas",1996,613,1383,1282,0,6,14,0,15,202
"Jefferson County, Texas",256526,58915,197611,96047,83856,622,9943,66,867,20552
"Jim Hogg County, Texas",4838,4281,557,414,5,15,26,5,8,133
"Jim Wells County, Texas",38891,30835,8056,6963,180,58,140,15,95,1492
"Johnson County, Texas",179927,42613,137314,119226,6446,840,1726,929,612,5012
"Jones County, Texas",19663,5504,14159,11485,1978,66,111,4,41,565
"Karnes County, Texas",14710,7734,6976,5388,1116,26,145,1,61,1533
"Kaufman County, Texas",145310,36165,109145,78626,21541,623,2107,70,435,7654
"Kendall County, Texas",44279,10029,34250,31767,315,138,355,36,202,2016
"Kenedy County, Texas",350,261,89,73,0,7,0,1,2,97
"Kent County, Texas",753,81,672,657,2,3,0,0,3,1
"Kerr County, Texas",52598,13598,39000,35791,690,156,576,39,187,2767
"Kimble County, Texas",4286,986,3300,3136,8,14,33,3,8,157
"King County, Texas",265,25,240,230,0,0,0,4,0,34
"Kinney County, Texas",3129,1470,1659,1489,36,21,10,2,15,344
"Kleberg County, Texas",31040,21920,9120,6728,995,83,784,1,97,1161
"Knox County, Texas",3353,1130,2223,1935,146,8,24,3,5,287
"Lamar County, Texas",50088,4412,45676,35354,6378,751,474,25,119,1026
"Lamb County, Texas",13045,7449,5596,4981,392,15,4,5,24,1170
"Lampasas County, Texas",21627,4179,17448,15132,700,115,242,86,100,284
"La Salle County, Texas",6664,4908,1756,1467,221,3,4,0,5,535
"Lavaca County, Texas",20337,3936,16401,14564,1173,30,74,5,31,757
"Lee County, Texas",17478,4479,12999,10612,1631,47,57,1,37,1239
"Leon County, Texas",15719,2446,13273,11659,921,54,111,6,47,871
"Liberty County, Texas",91628,30797,60831,50044,7024,291,466,12,329,7451
"Limestone County, Texas",22146,5013,17133,12530,3636,72,160,18,60,1948
"Lipscomb County, Texas",3059,1123,1936,1786,4,29,2,0,4,415
"Live Oak County, Texas",11335,4790,6545,5968,205,49,35,3,45,636
"Llano County, Texas",21243,2508,18735,17530,97,115,121,4,61,564
"Loving County, Texas",64,1,63,56,0,1,0,0,1,0
"Lubbock County, Texas",310639,109170,201469,154994,25663,1436,9490,180,968,10540
"Lynn County, Texas",5596,2352,3244,2960,105,15,10,4,12,132
"McCulloch County, Texas",7630,2369,5261,4904,92,7,39,0,12,361
"McLennan County, Texas",260579,68587,191992,139693,36130,901,4873,146,1065,16308
"McMullen County, Texas",600,224,376,353,1,1,3,5,0,34
"Madison County, Texas",13455,3415,10040,6984,2587,48,101,0,11,1163
"Marion County, Texas",9725,389,9336,6869,1846,69,48,0,45,154
"Martin County, Texas",5237,2255,2982,2780,81,22,9,1,19,385
"Mason County, Texas",3953,883,3070,2948,4,0,2,0,16,264
"Matagorda County, Texas",36255,15455,20800,15355,3734,99,700,7,103,3015
"Maverick County, Texas",57887,54936,2951,1574,129,835,182,4,110,17052
"Medina County, Texas",50748,25455,25293,22324,1252,158,215,38,188,2638
"Menard County, Texas",1962,662,1300,1231,12,7,5,3,8,113
"Midland County, Texas",169983,73331,96652,76487,10465,686,3891,152,621,17650
"Milam County, Texas",24754,6264,18490,15367,2097,67,111,11,84,1051
"Mills County, Texas",4456,728,3728,3498,25,10,4,0,6,318
"Mitchell County, Texas",8990,3454,5536,4328,925,34,54,1,11,277
"Montague County, Texas",19965,2361,17604,16342,73,155,84,4,34,506
"Montgomery County, Texas",620443,164089,456354,371403,34177,1884,21436,634,2522,52034
"Moore County, Texas",21358,12647,8711,6499,654,97,982,1,83,4192
